company,salary,overtime,salary_25_29,salary_30_34,salary_35_39,salary_40_44,salary_45_49,salary_50_54,salary_55_59,salary_60_up
ゴールドマン・サックス,1497,66,1183.0,1739.0,,,1270.0,,,
日本マイクロソフト,1255,37,934.0,1039.0,1077.0,1265.0,1490.0,1811.0,,
ブルームバーグ・エル・ピー,819,24,846.0,,,,,,,
シスコシステムズ,1116,37,814.0,,1093.0,1094.0,1156.0,1356.0,,
Google,1085,32,761.0,1027.0,1200.0,1200.0,1667.0,,,
マッキンゼー・アンド・カンパニー,1240,75,748.0,1325.0,1644.0,,,,,
中外製薬,1060,28,700.0,845.0,996.0,1126.0,1360.0,1312.0,,
セールスフォース・ドットコム,1140,37,683.0,963.0,1300.0,1316.0,2011.0,,,
EYストラテジー・アンド・コンサルティング,963,50,672.0,899.0,895.0,1581.0,1179.0,,,
KPMGコンサルティング,915,47,659.0,908.0,902.0,1164.0,,,,
日本オラクル,857,32,643.0,751.0,854.0,697.0,950.0,1112.0,1290.0,
プルデンシャル生命保険,865,50,628.0,765.0,1012.0,1060.0,1152.0,,,
バイエル,962,29,620.0,846.0,793.0,1011.0,1193.0,1076.0,1250.0,
ジョンソン・エンド・ジョンソン,845,40,619.0,750.0,987.0,989.0,1008.0,971.0,,
アクセンチュア,797,41,614.0,843.0,950.0,1057.0,1000.0,,,
アストラゼネカ,790,35,588.0,719.0,797.0,863.0,1060.0,,,
イーライリリー,862,27,582.0,768.0,791.0,983.0,1071.0,1153.0,,
日本ヒューレット・パッカード,854,33,568.0,648.0,649.0,763.0,870.0,1016.0,1074.0,1708.0
ブリティッシュ・アメリカン・タバコ・ジャパン,661,20,564.0,586.0,565.0,855.0,658.0,700.0,,
LINE,690,26,560.0,631.0,770.0,833.0,848.0,,,
エヌエヌ生命保険,769,34,555.0,710.0,932.0,,,,,
GEジャパン,795,35,550.0,720.0,717.0,829.0,771.0,,,
Apple Japan,643,17,550.0,564.0,564.0,736.0,,,,
アフラック生命保険,640,30,546.0,610.0,667.0,793.0,759.0,811.0,,
BASFジャパン,752,27,540.0,606.0,723.0,790.0,819.0,,956.0,
アマゾンジャパン,733,29,534.0,685.0,668.0,900.0,1023.0,897.0,,
モルガン・スタンレー,671,32,509.0,637.0,906.0,631.0,1063.0,,1100.0,
日本ロレアル,549,26,504.0,479.0,483.0,723.0,721.0,,,
ネスレ日本,633,30,488.0,650.0,563.0,,718.0,,,
メットライフ生命保険,679,30,471.0,576.0,608.0,766.0,813.0,885.0,709.0,
ルイ・ヴィトンジャパン,529,20,417.0,468.0,526.0,573.0,559.0,,,
マニュライフ生命保険,553,26,350.0,392.0,636.0,609.0,678.0,621.0,,
ロクシタンジャポン,338,19,269.0,356.0,388.0,444.0,494.0,,,
ノバルティスファーマ,970,26,,704.0,898.0,983.0,1149.0,1261.0,1213.0,
サノフィ,960,26,,713.0,945.0,967.0,1078.0,942.0,,
マーサージャパン,959,44,,,,,,,,
シティグループ,1278,59,,,1956.0,,940.0,,,
ファイザー,1158,16,,,878.0,,1072.0,1300.0,1225.0,
ベイン・アンド・カンパニー,---,--,,,,,,,,
バークレイズ,---,--,,,,,,,,
BNPパリバ,---,--,,,,,,,,
AIGジャパン・ホールディングス,---,--,,,,,,,,
ユニリーバ・ジャパン,---,--,,,,,,,,
ダウ・ケミカル日本,---,--,,,,,,,,
デュポン,---,--,,,,,,,,
